Iteration,Epoch,Train Acc,Val Acc,Confusion Matrix
1,Final,0.8086333,0.7987,"[[3708, 1280], [771, 4241]]"
2,Final,0.78646666,0.7754,"[[3398, 1590], [675, 4337]]"
3,Final,0.5003667,0.5073,"[[0, 4988], [0, 5012]]"
4,Final,0.7848333,0.7763,"[[4210, 778], [1360, 3652]]"
5,Final,1.0,0.7757,"[[3795, 1193], [1013, 3999]]"
6,Final,0.81523335,0.7868,"[[3968, 1020], [1097, 3915]]"
7,Final,0.8149,0.7919,"[[3557, 1431], [653, 4359]]"
8,Final,0.7578,0.7672,"[[3922, 1066], [1186, 3826]]"
9,Final,0.99983335,0.7767,"[[3791, 1197], [1034, 3978]]"
10,Final,0.9829,0.7698,"[[4155, 833], [1362, 3650]]"
